Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
Fujitsu Limited,,", ","Unbulleted list|ill|Takahito Tokita|jp|時田隆仁, small|(President/CEO)",''List of Fujitsu products|See products listing'',"increase yen|3.76 trillion|link=yes (2024)<ref name=""Financial result"" group=""*"">Cite web |title=FY 2023 Full-Year Financial Results |url=https://activate.fujitsu/-/media/Project/Fujitsu/Fujitsu-Activate/about/integrated-report/PDF/integrated-report_2023_en.pdf?rev=9082585bd2644e339b3fea6cf8669b30&hash=D24A6F5B05BD1078D158963B0CE160B7 |access-date=September 23, 2024 </ref>","124,000 (2024)<ref name=""fujitsucorpinfo"">Cite web |title=About Fujitsu |url=https://www.fujitsu.com/global/about/ |access-date=February 10, 2024 </ref>",,,,
Malayan Banking Berhad,,", ",ubl|Khairussaleh Ramli (Group President & CEO)|Zamzamzairani Mohd Isa (Chairman),,"increase RM51.03 billion<br/>(US$11.59 billion) (2021)<ref name=""maybank.com"">Cite web|url=http://www.maybank.com.my/|title=Welcome to Maybank|first=Agenda|last=Malaysia|website=Maybank Malaysia</ref>","Over 43,000",,,,
Toyota Industries Corporation,,", ","ubl
 | Tetsurō Toyoda (Chairman)
 | Akira Ōnishi (President (corporate title)|President)","textile machinery, materials handling equipment, electronics devices","increase yen|2,214,946 million (as of 03/31/2019)","64,641 (2019)",,,,
Larsen & Toubro Limited,"Start date and age| 7 February 1946<ref>cite web|title=incorporated on 07th February, 1946|url=https://indiankanoon.org/doc/162206794/|website=www.larsentoubro.com|access-date=11 February 2022</ref>,  Bombay, Bombay Presidency, British India, small|(present-day Mumbai, Maharashtra, India)","Mumbai, Maharashtra, India<ref>cite web|url=http://www.larsentoubro.com/corporate/contact-us/indian-offices/|title=Contact L&T|website=www.larsentoubro.com|access-date=11 February 2017|archive-url=https://web.archive.org/web/20170212093205/http://www.larsentoubro.com/corporate/contact-us/indian-offices/|archive-date=12 February 2017|url-status=live</ref>","ubl|Anil Manibhai Naik ,  small|(Emeritus|Chairman Emeritus)|S N Subrahmanyan|S. N. Subrahmanyan ,  small|(Chairman & Managing Director|MD)|R. Shankar Raman ,  small|(Chief Financial Officer|CFO)","hlist
| Construction & Mining Machinery
| Defence Equipment and Vessels
| Heavy Equipment
| Power Generation Equipment
| Rubber Processing Machinery
| Valves","Increase INRConvert|225271|c<ref name=pnl>Cite web|title=Larsen & Toubro Consolidated Profit & Loss account, Larsen & Toubro Financial Statement & Accounts|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/1b18582c-8e63-42ba-9410-d83b445daa7c.pdf|access-date=8 May 2024|website=www.bseindia.com|language=en</ref>","407,438 (including 348,094 workmen)<ref name=""fy2022"">cite web |url=https://investors.larsentoubro.com/Annual-Reports-Archives.aspx# |title=Larsen & Toubro Annual Report Fiscal Year 2024 Results |publisher=Larsen & Toubro |website=larsentoubro.com |date=26 June 2024 |access-date=26 June 2024 </ref>",URL|http://www.larsentoubro.com/,,,
Gazprom PJSC,,", ",ubl|Viktor Zubkov (Chairman#Corporate governance|Chairman)|Alexey Miller (CEO),"Petroleum, Natural gas, Petrochemicals",wikidata revenue|revenue|USDwikidata revenue|revenue|ref,Wikidata employeesWikidata employees|ref,,,,
Synchrony Financial,,", ",Unbulleted list|Margaret M. Keane (Executive Chairman)|Brian Doubles (CEO)<ref>cite press release |last1=Bishop |first1=Sue |title=Synchrony Promotes Brian Doubles To President |url=https://www.prnewswire.com/news-releases/synchrony-promotes-brian-doubles-to-president-300842295.html |website=PR Newswire |publisher=Synchrony |access-date=21 May 2019</ref>,"Credit cards , Payment systems","nowrap| increase United States dollar|US$14.8 billion (2018)<ref name=""2018-10K"" />","16,500 (2018)<ref name=""2018-10K"" /><ref name=""factsheet"">Cite web|url=https://www.synchronyfinancial.com/financial-fact-sheet.html|title=Synchrony Financial Fact Sheet</ref><ref>cite web |url=https://synchronycareers.com/about-us/ |title=Working at Synchrony Explore out Products, People and Principles |website=Synchrony</ref>",URL|synchrony.com,,,
Keurig Dr Pepper Inc.,"Start date and age|1981 (as Green Mountain Coffee Roasters), Waitsfield, Vermont, U.S.<ref name=""Green Mountain Coffee Roasters - Fast Facts"">cite web|url=http://www.gmcr.com/PressRoom/Fast-Facts.aspx|archive-url=https://web.archive.org/web/20120318152004/http://www.gmcr.com/pressroom/Fast-Facts.aspx|archive-date = March 18, 2012|title=Green Mountain Coffee Roasters - Fast Facts|publisher=Green Mountain Coffee Roasters </ref>",", ","ubl|Tim Cofer (Chief executive officer|CEO)<ref name=KDP>
cite web 
|url=https://keurigdrpepper.com/leading-with-vision-tim-cofer-assumes-ceo-role-at-kdp/
|title=Leading with Vision: Tim Cofer Assumes CEO Role at KDP
|website=KeurigDrPepper.com
|date=26 April 2024
|access-date=8 September 2024
|language=
</ref>
|Robert Gamgort (executive chairman)",,"Increase US$|11.618 billion|link=yes (2020)<ref>cite web |url=https://www.macrotrends.net/stocks/charts/KDP/keurig-dr-pepper/revenue |title=Keurig Dr Pepper Revenue 2010-2022 &#124; KDP |publisher=MacroTrends |date= |access-date=May 25, 2022 |archive-date=January 22, 2023 |archive-url=https://web.archive.org/web/20230122020501/https://www.macrotrends.net/stocks/charts/KDP/keurig-dr-pepper/revenue |url-status=live </ref>","27,500 (2021)",URL|keurigdrpepper.com,,,
BAE Systems plc,,", ",ubl|Cressida Hogg (Chair)|Charles Woodburn (CEO),,increase GBP|23.078&nbsp,billion,93000,,,
Xcel Energy Inc.,"start date and age|1909|06|17 in Stillwater, Minnesota, U.S. (as Washington County Light & Power Company)","Minneapolis|Minneapolis, Minnesota, U.S.","ubl|Robert C. Frenzel (Chairperson|chairman, President (corporate title)|president, and Chief executive officer|CEO)|Timothy O'Connor (Executive Vice President|VP and Chief operating officer|COO)|Brian J. Van Abel (Executive VP and Chief financial officer|CFO)",ubl|Electric power industry|Electric Power|Natural Gas,"decrease US$|14.21 1,000,000,000|billion|link=yes",11311,URL|https://my.xcelenergy.com|my.xcelenergy.com,,,
Emerson Electric Co.,Start date and age|1890|9|24,", ","unbulleted list|class=nowrap|
                     Jim Turley (chairman)|
                     Lal Karsanbhai (Chief executive officer|CEO)|
                     Mike Baughman (Chief financial officer|CFO)","unbulleted list|
                     nowrap|Process control systems|
                     nowrap|Climate technologies|
                     nowrap|Power technologies|
                     nowrap|Industrial automation|
                     nowrap|Electric motors|
                     nowrap|Storage systems|
                     nowrap|Professional tools","increase US$|17.49 1,000,000,000|billion|link=yes (2024)","circa|73,000 (2024)",URL|emerson.com,,,
The Boeing Company,"Start date and age|1916|07|15, in Seattle",", ","Unbulleted list
  | Robert Ortberg|Kelly Ortberg (President (corporate title)|president and Chief executive officer|CEO)
  | Steve Mollenkopf (Chairperson|chair)",,increase US$|77.79|link=yesnbspbillion,"increase 170,688",URL|https://boeing.com,,,
The Sherwin-Williams Company,Start date and age|1866,"Cleveland, Ohio, U.S.","unbulleted list|John G. Morikis, (Executive Chairman)|Heidi G. Petz, (President (corporate title)|President and Chief Executive Officer|CEO) |Allen J. Mistysyn, (Vice president#In business|SVP and Chief financial officer|CFO)","plainlist| 
*Chemical substance|Chemicals
*Paints|Decorative paints
*automotive restoration|Industrial finishing products 
*Coatings
*Wood stain|Stains
*Caulks
*Sealants",increase US$|23.05 billion|link=yes,64088,URL|sherwin-williams.com,,,
VMware LLC,"Start date and age|1998|02|10, Palo Alto, California, U.S.",", ",ubl|Raghu Raghuram (Chief executive officer|CEO),"unbulleted list | class=""nowrap""
 | VMware vSphere
 | VMware ESXi
 | VMware Fusion
 | VMware Horizon
 | VMware Player
 | VMware ThinApp
 | VMware Infrastructure",nowrap| increase US$|13.4 billion|link=yes (2023),"38,300 (2023)",url|https://www.vmware.com|vmware.com,,,
Ally Financial Inc.,Start date and age|1919 (as General Motors Acceptance Corporation),", ","Franklin W. Hobbs (Chairperson|chairman), Michael Rhodes (Chief executive officer|CEO), Russell Hutchinson (Chief financial officer|CFO)",,increase US$|8.206 billion|link=yes (2021),11100,URL|ally.com,,,
China Merchants Shekou Industrial Zone Holdings,"<!-- if known: Start date and age|1992|02|17 in city, state, country -->","Shenzhen, China",Yong Jun Xu (CEO),,$12.1 billion (2018),24791,<!-- URL|example.com -->,,,
Imperial Brands plc,,", ","collapsible list|
* wd-chairperson
* wd-ceo
* William Wills, 1st Baron Winterstoke|Sir William Henry Wills, Bt. (First Chairman)
* George Alfred Wills|Sir George Alfred Wills, Bt. (Former President)
* Gilbert Wills, 1st Baron Dulverton|The 1st Baron Dulverton (Former President)",hlist|Cigarettes|cigars|fine-cut Shag (tobacco)|rolling tobacco|rolling papers and tubes|snus|Electronic cigarette|vapes|heated tobacco|Nicotine pouch|oral nicotine,decrease Pound sterling|£32.475&nbsp,billion (2023)<ref name=results>Cite web|url=https://www.imperialbrandsplc.com/content/dam/imperialbrands/corporate/documents/investors/reports/oar-2023/imperial-brands-2023-annual-report.pdf|title=Annual Report 2023|publisher=Imperial Brands|access-date=11 February 2024</ref>,"25,500 (2023)<ref name=results/>",,,
American Tower Corporation,start date and age|1995,"Boston, Massachusetts, United States",Steven Vondran (President (corporate title)|President and CEO),,increase US$|11.14 billion|link=yes (2023),"5,643 (2023)",URL|americantower.com,,,
OJSC MMC Norilsk Nickel,,", ",Vladimir Potanin (President - Chairman of the Management Board),ubl|Nickel|Palladium|Copper|Platinum|Gold|Cobalt|Selenium|Tellurium|Rhodium|Silver|Iridium|Ruthenium|Coal,wikidata revenue|revenue|numwikidata revenue|revenue|ref,,,,,
Samsung Life Insurance<br>삼성생명,,", ",Jeon Young-muk (Chief executive officer|CEO),Life insurance<br>Health insurance<br>Annuity (American)|Annuities,"increase South Korean won|KRW 34.53 trillion (2020)<ref name=""report"">cite web|url=https://finance.naver.com/item/main.nhn?code=032830| title=삼성생명 - 네이버 금융 : 네이버 금융 </ref>","6,266 (2010)",,,,
Emirates NBD Bank PJSC,,", ","Ahmed bin Saeed Al Maktoum, (Chairman)",Bulleted_list|Investment banking|Commercial banking|Retail banking|Private banking|Mortgage loan|Mortgages|Credit cards,"Unbulleted list|Increase United Arab Emirates dirham|AED FXConvert|ARE|32507483000 (2022)|United Arab Emirates dirham|AED FXConvert|ARE|23821650000 (2021)<ref name=""ENBD Financials"">Cite web |title=Interactive Analysis |url=https://tools.eurolandir.com/tools/ia/?companycode=ae-enbd&v=ad&lang=en-GB |access-date=2023-02-11 |website=tools.eurolandir.com</ref>","Increase 14,000 (2020)<ref>Cite web|url=https://mediaoffice.ae/en/news/2021/Jan/27-01/Emirates-NBD-Announces-Full-Year-2020-Results|title=Emirates NBD Announces Full Year 2020 Results|website=mediaoffice.ae</ref>",,,,
Starbucks Corporation,"Start date and age|1971|03|30, in Pike Place Market, Elliott Bay, Seattle, Washington, U.S.","Seattle, U.S.","Plainlist|
* Howard Schultz (chairman emeritus)
* Brian Niccol (chairman and CEO)","flat list|
* Coffee beverages
* smoothies
* tea
* baked goods
* sandwiches",increase US$35.98 billion,"circa|381,000",URL|https://starbucks.com/,,,
National Bank of Canada,,", ",Laurent Ferreira (CEO),"Financial services, Commercial banking","increase Canadian dollar|Can$10.17 billion (2023)<ref name=""Financials"">cite web |title=2023 Q4 Report|url=https://www.nbc.ca/content/dam/bnc/a-propos-de-nous/relations-investisseurs/resultats-trimestriels/2023/suppack-q4-2023.pdf |website=Investor Relations |publisher=National Bank of Canada |access-date=10 December 2023</ref>","28,916 (2023)<ref name=""Financials""/>",,,,
"Weichai Power Co., Ltd.",,", ","Chairman: Tan Xuguang<ref name=""fortune500_2021""/>","Automotive parts<br/>Diesel engines, Forklifts","$28.38 billion (2021)<ref name=""fortune500_2021""/>","81,600 (2021)<ref name=""fortune500_2021""/>",,,,
Carrier Global Corporation,"start date and age|1915|6|26 in Syracuse, New York, U.S.",", ",Dave Gitlin (CEO),"plainlist|
* Air Conditioning
* HVAC systems
* Refrigerators
* Heating
* Ventilating 
* Building automation 
* Security controls",nowrap| Increase US$|22.1 billion|link=yes (2023),"53,000 (2023)",url|corporate.carrier.com,,,
Compagnie de Saint-Gobain S.A.,,", ",unbulleted list| Pierre-André de Chalendar (chairman) |Benoît Bazin (chief executive officer|CEO),"List of building materials|Construction materials production and retail, glass, ceramics, plastics, abrasives, Drywall|gypsum plasterboards","decrease Euro|€47.94 billion (2023)<ref name=""CFS 23"">cite web |url=https://www.saint-gobain.com/sites/saint-gobain.com/files/media/document/comptes_conso_31-12-2023_eng.pdf |title=Consolidated Financial Statements|date=29 February 2024|publisher=Saint-Gobain </ref>","159,145 (2023)<ref name=""CFS 23""/>",,,,
"Murata Manufacturing Company, Ltd. ,  株式会社村田製作所",,", ","Tsuneo Murata, Chairman of the Board, 
Norio Nakajima, President",ubl|Monolithic ceramic capacitors|SAW filters|Ceramic resonators|Piezoelectric sensors|Ceramic filters|Piezoelectric buzzers|Short-range wireless modules|Communication modules (including Bluetooth® modules)|Multilayer ceramic devices|Electrical connectors|Connectors|Isolator switch|Isolators|Power supplies|Circuit modules|EMI Suppression filters|Inductor (coils)|Sensors,profit JPY|1.81 trillion|link=yes (2022),"77,581 (March 31, 2022)",,,,
Bristol-Myers Squibb Company,Start date and age|1887,", ",unbulleted list|Giovanni Caforio (chairman)|Chris Boerner (CEO)|David Elkins (CFO),,decrease US$|45.01 billion|link=yes (2023),"34,100 (2023)",url|bms.com,,,
Danske Bank A/S,,", ",Unbulleted list|Martin Blessing (chair)|Carsten Egeriis (CEO),"Banking, insurance, investment management","Increase DKK|52.45|link=yes&nbsp;1,000,000,000|billion (2023)<ref name=""AR2023"">cite web |url=https://danskebank.com/-/media/danske-bank-com/file-cloud/2024/2/danske-bank---annual-report-2023.pdf |title=Annual Report 2023 Danske Bank Group |date=2 February 2024 |access-date=4 February 2024 |publisher=Danske Bank</ref>","20,021 (full-time equivalent|FTE, 2023)<ref name=""AR2023"" />",,,,
Cummins Inc.,Start date and age|1919,", ","ubl|class=nowrap
 | Jennifer Rumsey | (President & CEO)
 | Tom Linebarger|N. Thomas Linebarger | (Executive Chairman)
 | Mark Smith | (Vice President & CFO)","Engines, filtration|filtration products, Electric generator|generators, Fuel cell|fuel cell systems, turbochargers, electric vehicle battery| electric vehicle powertrains",nowrap|increase US$|34.07 billion|link=yes (2023),"circa|75,500 (2023)",url|cummins.com,,,
"Best Buy Co., Inc.","start date and age|1966|8|22 in St. Paul, Minnesota, United States, as Sound of Music",", U.S.",ubl|J. Patrick Doyle|Patrick Doyle (Chairman)|Corie Barry (CEO),"Consumer electronics, appliances",decrease US$|43.45 billion|link=yes (2024),"circa|85,000",URL|bestbuy.com,,,
"Prudential Financial, Inc.",,"nowrap|Newark, New Jersey, U.S.",Unbulleted list|Charles Lowrey (chairman and Chief executive officer|CEO)|Robert Falzon (vice chairman),,decrease US$53.98 billion (2023),40658,,,,
Stellantis N.V.,start date and age|df=y|2021|01|17,"Hoofddorp, Netherlands<ref name=ArticlesofAssociation>cite web|url=https://www.stellantis.com/content/dam/stellantis-corporate/group/governance/corporate-regulations/Unofficial_English_Translation_Articles_of_Association_Stellantis.pdf|title=Unofficial English translation articles of association Stellantis (English)|website=Stellantis</ref>","plainlist|
* John Elkann (chairman)
* Carlos Tavares (CEO)
* Robert Peugeot (vice chairman)",,Increase €189.5 billion,258275,Official website,,,
BASF SE,,", ",ubl|Jürgen Hambrecht <small>(chairman of the supervisory board)</small>|Martin Brudermüller <small>(CEO and chairman of the executive board)</small>,"Chemicals, plastics, performance chemicals, catalysts, coatings, Agricultural science|crop technology, crude oil and natural gas Hydrocarbon exploration|exploration and production","decrease €|68.9&nbsp;billion|link=yes (2023)<ref name=""AR"">cite web |url=https://report.basf.com/2023/en/_assets/downloads/10y-ten-year-summary-basf-ar23.pdf |title=BASF 10 year summary |access-date=3 June 2024 |publisher=BASF</ref>","increase 111,991 (end 2023)<ref name=""AR""/>",,,,
"Fast Retailing Co., Ltd.","bulleted list
 |1= As '''Men’s Shop Ogori Shoji''' Start date and years ago|df=yes|1949|03
 |2= As '''Fast Retailing''' Start date and years ago|df=yes|1991|09",", ","ubl|Tadashi Yanai| (Chairman, President (corporate title)|President and Chief executive officer|CEO)<br> Shimpei Otani (Chief technology officer|CTO)<br>Makoto Hoketsu (Chief information officer|CIO)","Clothing, Fashion accessory|accessories","increase Japanese yen|¥2,130&nbsp;1,000,000,000|billion (FY2018)<ref name=""financials2018"">cite web |url=https://www.fastretailing.com/eng/ir/library/pdf/20181011_results_en.pdf |title=Fast Retailing Results for Fiscal 2018 and Estimates for Fiscal 2019 (4,390KB) |publisher=Fast Retailing Co., Ltd. |access-date=November 28, 2018</ref>","52,839 (2018)<ref name=""compinfo"">cite web |url=http://www.fastretailing.com/eng/about/company/
|title=Overview &#124; FAST RETAILING CO., LTD |publisher=Fast Retailing Co., Ltd. |access-date=November 28, 2018</ref>",,,,
Fifth Third Bancorp,"start date and age|1858|6|17, in Cincinnati, Ohio, U.S. (as Bank of the Ohio Valley)","Cincinnati, Ohio, ","Timothy N. Spence (chairman, Chief executive officer|CEO and President (corporate title)|president)<BR>Bryan D. Preston (CFO)","Retail banking|Consumer banking, Commercial bank|corporate banking, private banking, financial analysis, insurance, investment banking, mortgage loans, private equity, wealth management, credit cards",,"18,724 (December 2023)",,,,
CME Group Inc.,Oldest exchange start date and age|1848,<br/>Merger start date and age|2007,", ","nowrap|Terrence A. Duffy, nowrap|(Executive Chairman|chairman & Chief executive officer|CEO), nowrap|Lynne Fitzpatrick, nowrap|(Chief financial officer|CFO)<ref>cite web|url=https://www.reuters.com/article/cme-group-cfo-idCNL4N2US3L1|title=CME Group CFO Pietrowicz to retire next year|date=February 17, 2022|website=Reuters|access-date=June 22, 2023</ref>",,increase US$|5.589&nbsp,billion|link=yes,"circa|3,565",URL|cmegroup.com,
CRRC Sifang America,Start date and age|df=yes|2019,", ","aligned table|style=text-align: left; font-size: 100%;|Liu&nbsp;Hualong|(chairman of the board, Party Committee Secretary|party&nbsp;secretary)<ref name = ""senior2015""/>|Xi&nbsp;Guohua|(vice-chairman, nowrap|deputy party secretary, president)<ref name = ""senior2015""/><ref name=CRRC2016AR/>|Sun&nbsp;Yongcai|(nowrap|executive director, vice-president)<ref name=CRRC2016AR/><ref name=director1/>|Xu&nbsp;Zongxiang|(executive director)<ref name=director1>cite web|url=http://www.hkexnews.hk/listedco/listconews/SEHK/2017/0620/LTN20170620715.pdf|title=List of Directors and their Role and Function|date=20 June 2017|access-date=22 June 2017|work=CRRC|publisher=Hong Kong Stock Exchange|archive-date=16 October 2022|archive-url=https://web.archive.org/web/20221016204106/https://www1.hkexnews.hk/listedco/listconews/sehk/2017/0620/ltn20170620715.pdf|url-status=live</ref>|<hr>||Wan Jun|(chairman of the supervisory board, nowrap|deputy party secretary)|Zhan Yanjing|(CFO & vice-president)|Wang Jun|(vice-president)|Lou Qiliang|(vice-president)|Yu Weiping|(vice-president)<ref>cite web|url=http://www.crrcgc.cc/g5080.aspx|title=股份领导|access-date=22 June 2017|publisher=CRRC|language=zh|archive-url=https://web.archive.org/web/20170611214801/http://www.crrcgc.cc/g5080.aspx|archive-date=11 June 2017|url-status=live</ref>",7000-series (CTA)|CTA 7000-series,US$|$21.4 million|link=yes (20??),200,,,,
Bayer AG,,", ","Plainlist|
* Bill Anderson (businessman)|Bill Anderson (CEO)
* Norbert Winkeljohann (chairman of the supervisory board)",hlist|Prescription pharmaceuticals|Medical imaging|diagnostic imaging|therapeutics|over-the-counter drugs|pesticides|seeds|Plant breeding|plant biotechnology,"increase €|50.74 billion|link=yes (2023)<ref name=""AR2022"">cite web |url=https://www.bayer.com/sites/default/files/2023-02/Bayer-Annual-Report-2022.pdf |title=Bayer AG Annual Report 2022 |access-date=15 September 2023 |publisher=Bayer AG</ref>","101,369 (2022)<ref name=""AR2022""/>",,,,
Toyota Tsusho Corporation,,", ","Ichiro Kashitani, President",,USD|78.9 billion (2015),"53,241 (2015)",,,,
80 Park Plaza,,", ","Ralph LaRossa  <small>(President (corporate title)|President, Chief executive officer|CEO)</small>,  Daniel Cregg <small>(Vice president|EVP, Chief financial officer|CFO)</small>",,"unbulleted list|nowrap|increase US$ 10.076&nbsp;billion (2019) <ref name='xbrlus_1'>cite web|url=https://www.sec.gov/ix?doc=/Archives/edgar/data/81033/000078878420000004/pseg201910k.htm|title=PUBLIC SERVICE ENTERPRISE GROUP INC 2013 Annual Report Form (10-K) |publisher=United States Securities and Exchange Commission |format=XBRL |date=February 26, 2014</ref>|nowrap|increase US$ 9.696&nbsp;billion (2018) <ref name='xbrlus_1'/>","12,945<ref>cite web|url=https://finance.yahoo.com/q/pr?s=peg |title=PEG: Profile for Public Service Enterprise Group - Yahoo! Finance |publisher=Finance.yahoo.com |date=2009-12-31 |access-date=2010-04-26</ref>",URL|pseg.com,,,
"Consolidated Edison, Inc.",Start date and age|1823|03|26  &ndash, as New York Gas Light Company<br>1871 &ndash, Harlem Gas Light Company<br>1884 &ndash, Consolidated Gas Company,"New York City, U.S.","Tim Cawley (CEO)<ref>cite press release |url=https://www.prnewswire.com/news-releases/con-edison-names-timothy-cawley-chief-executive-officer-con-edison-of-new-york-names-matthew-ketschke-president-301133622.html |title=Con Edison Names Timothy Cawley Chief Executive Officer; Con Edison of New York Names Matthew Ketschke President |agency=Consolidated Edison |work=Cision Distribution |publisher=PR Newswire |date=September 17, 2020</ref>",,decrease US$|14.66 billion|link=yes (2023)<ref name=10K />,"14,592 (2023)<ref name=10K>cite web | url= https://www.sec.gov/ix?doc=/Archives/edgar/data/1047862/000104786224000012/ed-20231231.htm | title=Consolidated Edison 2023 Form 10-K Annual Report | publisher=U.S. Securities and Exchange Commission |date=February 15, 2024</ref>",URL|coned.com
Kimberly-Clark Corporation,,", ",unbulleted list|Michael D. Hsu (Chairman#Public corporations|chairman & Chief executive officer|CEO),"flatlist|
* Kimberly-Clark
* Kleenex
* Huggies
* Kotex
* Depend (undergarment)|Depend
* Scott Paper Company|Scott
* Viva
* Cottonelle
* Andrex
* Pull-Ups
* GoodNites
* Little Swimmers
* Poise
* Neat Sheet",increase US$|20.43 billion|link=yes (2023),"circa|41,000 (2023)",,,,
Wesfarmers Limited,,", ","Plainlist|
* Michael Chaney (Chairperson|Chairman)
* Rob Scott (businessman)|Rob Scott (Chief executive officer|CEO)",,"Increase $30.8 billion (2020)<ref name=""2020 report"">Cite web|title=Wesfarmers 2020 Annual Report |url=https://announcements.asx.com.au/asxpdf/20200923/pdf/44mxhkdxszyjll.pdf |date=23 September 2020 |access-date=15 December 2020|publisher=Wesfarmers Limited|location=Perth, WA</ref>","107,000 (2020)<ref name=""2020 report"" />",,,,
PT Bank Central Asia Tbk,Start date and age|df=yes|1955 (as NV Perseroan Dagang Dan Industrie Semarang Knitting Factory)<br>Start date and age|df=yes|21 February 1957 (as PT Bank Central Asia Tbk),", ","President Commissioner: Djohan Emir Setijoso, President Director: Jahja Setiaatmadja, Deputy President Director: Suwignyo Budiman, Deputy President Director: Armand Wahyudi Hartono, SME Account Officer: Felix Limminata","Retail Banking|Consumer banking, Commercial bank|Corporate banking, Credit cards, Investment banking, Mortgage loans, Private banking",,"50,376 (2022) <ref>cite web | url=https://keuangan.kontan.co.id/news/jumlah-karyawan-bank-besar-menyusut-namun-beban-tenaga-kerja-meningkat | title=Jumlah Karyawan Bank Besar Menyusut, Namun Beban Tenaga Kerja Meningkat | date=22 May 2022 </ref>",,,,
Paccar Inc.,,", ",ubl|Mark Pigott|Mark C. Pigott (chairman)|Preston Feight (Chief executive officer|CEO),"Collapsible list
  |framestyle=border:none; padding:0;
  |title=<small>Products List</small>
  |1=Diesel engine|Paccar MX13 & MX11
  |2=Diesel engine|Paccar PR, GR & FR
  |3=Winch|Braden, Carco & Gearmatic 
  |4=Axle|Tandem Axle
  |5=Truck classification#Class 6|Class 6 Trucks
  |6=Truck classification#Class 7|Class 7 Trucks
  |7=Class 8 truck|Class 8 Trucks",nowrap|increase US$|33.32 billion|link=yes (2023),"circa|32,400 (2023)",,,,
"American International Group, Inc.",,"New York City, New York, U.S.",Peter Zaffino (chairman and CEO),ubl|General insurance |Health insurance |Vehicle insurance |Travel insurance |Home insurance |Life insurance |Mortgage loans |Investment management |Mutual fund,"decrease US$|46.80 1,000,000,000|billion|link=yes (2023)<ref name=AR2023 />","circa|25,200 (2023)<ref name=AR2023 />",URL|https://aig.com/,,,
"Mitsubishi Estate Company, Limited",,", ",ublist|Junichi Yoshida<ref>Cite web |url=https://www.mec.co.jp/en/company/director/ |title=Board Members |accessdate=2024-01-08</ref> (Chairman)|Atsushi Nakajima (President),,,,,,,
Equinor ASA,,", ","Jon Erik Reinhardsen (chairman|Chair), Anders Opedal (chief executive officer|CEO)<ref>cite news|title=Anders Opedal taking over as president and CEO|url=https://www.equinor.com/en/news/20200810-management.html/|access-date=10 August 2020|publisher=Equinor.com</ref>",ubl|Petroleum|Natural gas|Petrochemicals|Electrical power,"nowrap|gain US$|90.92 billion|link=yes (2021)<ref name=""AR2021"">cite web | url=https://www.equinor.com/content/dam/statoil/documents/annual-reports/2021/equinor-2021-annual-report-and-form-20-f.pdf
 |title=Annual Report 2021 |publisher=Statoil |access-date=23 March 2022</ref>","21,126 (2021)<ref name=""AR2021"" />",,,,
DTE Energy Company,,", ","Gerardo Norcia small|(Chairman and CEO)<ref name=""DTE Energy Executive Committee"">cite web |url=https://newlook.dteenergy.com/wps/wcm/connect/dte-web/home/about-dte/common/about-dte/executive-committee |title=DTE Energy Executive Committee |publisher=DTE |date=June 2019 |access-date=June 24, 2019</ref><br>Joi Harris small|(President & COO)<br>JoAnn Chavez small|(General Counsel|CLO)<br>David Rudd small|(CFO)",,increase US$|19.288 billion|link=yes (2022),"10,250 (2022)",url|www.dteenergy.com,,,
Colgate-Palmolive Company,Start date and age|1806,", ","ubl|Noel Wallace (Chairman, President & Chief executive officer|CEO)|Stanley J. Sutula III (Chief financial officer|CFO)","flatlist|
* Cleaning agents
* Personal care#Products|Personal care products
* Pet food",increase US$|19.5 billion|link=yes (2023),"circa|34,000 (2023)",URL|https://colgatepalmolive.com,,,
Hana Financial Group Inc.,start date and age|2005|12,"Seoul, South Korea",Kim Jung-tai (Chief executive officer|CEO),,,,URL|https://www.hanafn.com/en/main/index.do|www.hanafn.com,,,
Kotak Mahindra Bank,,", ","ubl|Uday Kotak, small|(non-executive director)|Ashok Vaswani<br/>small|(MD & CEO)<br/>",ubl|Retail banking|Consumer banking|Commercial banking|Insurance|Credit cards|Investment banking|Mortgage loans|Private banking|Private equity|Investment management|Asset management|Mutual funds|Exchange-traded funds|Index funds|Wealth management|Stockbroking|Financial risk management|Risk management,"Increase INRConvert|94274|c<ref name=is>Cite web|title=Kotak Mahindra Bank Consolidated Profit & Loss account, Kotak Mahindra Bank Financial Statement & Accounts|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/67b197fc-ea55-4f97-bc65-12a728590a28.pdf|access-date=4 May 2024|website=bseindia.com|language=en</ref>","116,000+ (March 2024)<ref name=BL>[https://www.bseindia.com/xml-data/corpfiling/AttachHis/a1c5625c-a57a-47aa-b789-57b51ba4bc1a.pdf ""Annual Report 2024""] kotak.com (15 July 2024).</ref>",,,,
Telstra Group Limited,,", ","Vicki Brady (CEO), Michael Ackland (CFO), Craig Dunn (Chairman)","Landline|Fixed line and mobile telephony, Internet, data services, network services, and pay TV",increase AUD|23.25|link=yes&nbsp,billion (2023),"circa|31,000 (2023)",URL|https://telstra.com.au/,,
